Inspection Date,Response Score,Script Item Number,Location Code,Plant Number,Installed Component,Installed Modifier,Script ID,Script Description,Attribute ID,Questions,Response Description,Script Activity ID,Script Result ID,Site,Work Group,Zone,Script Version Number,5Char_Site_Code,Civil Item
04/08/2022,0.0,2,SUND4STECH,SUND4STECH,GAN,nan,RVSGANAA,GANTRY S/S VISUAL INSPECTION,VICIVGA01,Do you want to report any condition deterioration of the asset?,NO,S-0665243,SRR-10377051,SUND,TCNWANG,TCN,1,SUND4,Civil Item
10/08/2022,1.0,2,HAMH4STECH,HAMH4STECH,GAN,nan,RVSGANAA,GANTRY S/S VISUAL INSPECTION,VICIVGA01,Do you want to report any condition deterioration of the asset?,YES,S-0670025,SRR-10429884,HAMH,TCNWARW,TCN,1,HAMH4,Civil Item
10/08/2022,,3,HAMH4STECH,HAMH4STECH,GAN,nan,RVSGANAA,GANTRY S/S VISUAL INSPECTION,VICIVGA02,What is the number for the gantry?,nan,S-0670025,SRR-10429885,HAMH,TCNWARW,TCN,1,HAMH4,Civil Item
10/08/2022,1.0,5,HAMH4STECH,HAMH4STECH,GAN,nan,RVSGANAA,GANTRY S/S VISUAL INSPECTION,VICIVGA03,Do you want to report any condition deterioration for the base?,YES,S-0670025,SRR-10429886,HAMH,TCNWARW,TCN,1,HAMH4,Civil Item
10/08/2022,0.0,9,HAMH4STECH,HAMH4STECH,GAN,nan,RVSGANAA,GANTRY S/S VISUAL INSPECTION,VICIVGA06,Do you want to report any condition deterioration for the support structure?,NO,S-0670025,SRR-10429887,HAMH,TCNWARW,TCN,1,HAMH4,Civil Item
10/08/2022,1.0,16,HAMH4STECH,HAMH4STECH,GAN,nan,RVSGANAA,GANTRY S/S VISUAL INSPECTION,VICIVGA09,Do any of the earthing connections need reporting,YES,S-0670025,SRR-10429888,HAMH,TCNWARW,TCN,1,HAMH4,Civil Item
10/08/2022,1.0,21,HAMH4STECH,HAMH4STECH,GAN,nan,RVSGANAA,GANTRY S/S VISUAL INSPECTION,VICIVGA12,Does the asset body need reporting,YES,S-0670025,SRR-10429889,HAMH,TCNWARW,TCN,1,HAMH4,Civil Item
10/08/2022,40.0,6,HAMH4STECH,HAMH4STECH,GAN,nan,RVSGANAA,GANTRY S/S VISUAL INSPECTION,VICIVGA04,Rate condition of foundation (base),SUPERFICIAL/MINOR DETERIORATION,S-0670025,SRR-10429890,HAMH,TCNWARW,TCN,1,HAMH4,Civil Item
10/08/2022,,22,HAMH4STECH,HAMH4STECH,GAN,nan,RVSGANAA,GANTRY S/S VISUAL INSPECTION,VICIVGA13,What is the phase for this issue?,RED PHASE,S-0670025,SRR-10429892,HAMH,TCNWARW,TCN,1,HAMH4,Civil Item
10/08/2022,60.0,23,HAMH4STECH,HAMH4STECH,GAN,nan,RVSGANAA,GANTRY S/S VISUAL INSPECTION,VICIVGA14,Rate the level of pollution on the main body of the asset,HIGH POLLUTION,S-0670025,SRR-10429893,HAMH,TCNWARW,TCN,1,HAMH4,Civil Item
